SeriesName,CountryName,CountryCode,ContinentName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Surface area (sq. km),Latvia,LVA,Europe,64558.99902,64558.99902,64558.99902,64558.99902,64558.99902,64558.99902,64558.99902,64558.99902,64558.99902,64560,64510,64480,64480,64490,64490,64490
Surface area (sq. km),Lebanon,LBN,Asia,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450
Surface area (sq. km),Lesotho,LSO,Africa,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360
Surface area (sq. km),Liberia,LBR,Africa,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370
Surface area (sq. km),Libya,LBY,Africa,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540
Surface area (sq. km),Liechtenstein,LIE,Europe,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Surface area (sq. km),Lithuania,LTU,Europe,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65286.00098,65286.00098
Surface area (sq. km),Luxembourg,LUX,Europe,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590
Surface area (sq. km),"Macao SAR, China",MAC,Asia,20,25.99999905,27.00000048,27.00000048,27.99999952,27.99999952,28.59999895,29.20000076,29.20000076,29.50000048,29.70000029,29.9000001,29.9000001,30.29999971,30.29999971,30.39999962
Surface area (sq. km),North Macedonia,MKD,Europe,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710
Surface area (sq. km),Madagascar,MDG,Africa,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587295,587295,587295,587295,587295
Surface area (sq. km),Malawi,MWI,Africa,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480
Surface area (sq. km),Malaysia,MYS,Asia,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330396.0156,330396.0156,330345
Surface area (sq. km),Maldives,MDV,Asia,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Surface area (sq. km),Mali,MLI,Africa,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190
Surface area (sq. km),Malta,MLT,Europe,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Surface area (sq. km),Marshall Islands,MHL,Oceania,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Surface area (sq. km),Mauritania,MRT,Africa,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700
Surface area (sq. km),Mauritius,MUS,Africa,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040
Surface area (sq. km),Mexico,MEX,North America,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380
Surface area (sq. km),"Micronesia, Fed. Sts.",FSM,Oceania,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Surface area (sq. km),Moldova,MDA,Europe,33840,33840,33840,33840,33850,33850,33850,33850,33850,33850,33850,33850,33850,33850,33850,33850
Surface area (sq. km),Monaco,MCO,Europe,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Surface area (sq. km),Mongolia,MNG,Asia,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120
Surface area (sq. km),Montenegro,MNE,Europe,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810
Surface area (sq. km),Morocco,MAR,Africa,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550
Surface area (sq. km),Mozambique,MOZ,Africa,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380
Surface area (sq. km),Myanmar,MMR,Asia,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590
Surface area (sq. km),Namibia,NAM,Africa,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290
Surface area (sq. km),Nauru,NRU,Oceania,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Surface area (sq. km),Nepal,NPL,Asia,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180
Surface area (sq. km),Netherlands,NLD,Europe,41530,41530,41530,41530,41530,41540,41540,41540,41540,41540,41540,41540,41540,41540,41540,41540
Surface area (sq. km),New Caledonia,NCL,Oceania,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580
Surface area (sq. km),New Zealand,NZL,Oceania,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710
Surface area (sq. km),Nicaragua,NIC,North America,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370
Surface area (sq. km),Niger,NER,Africa,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000
Surface area (sq. km),Nigeria,NGA,Africa,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770
Surface area (sq. km),Northern Mariana Islands,MNP,Oceania,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Surface area (sq. km),Norway,NOR,Europe,385178.0078,385178.0078,385178.0078,385178.0078,385178.0078,385178.0078,385178.0078,385178.0078,385178.0078,385178.0078,385178.0078,385178.0078,385178.0078,625217.1094,625217.1094,625217.1094
Surface area (sq. km),Oman,OMN,Asia,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500
Surface area (sq. km),Pakistan,PAK,Asia,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100
Surface area (sq. km),Palau,PLW,Oceania,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Surface area (sq. km),Panama,PAN,North America,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420
Surface area (sq. km),Papua New Guinea,PNG,Oceania,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840
Surface area (sq. km),Paraguay,PRY,South America,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406751.9922,406751.9922,406751.9922,406751.9922,406751.9922,406751.9922
Surface area (sq. km),Peru,PER,South America,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220
Surface area (sq. km),Philippines,PHL,Asia,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Surface area (sq. km),Poland,POL,Europe,312690,312690,312690,312690,312690,312690,312680,312680,312680,312680,312680,312680,312680,312680,312680,312680
Surface area (sq. km),Portugal,PRT,Europe,92120,92120,92120,92120,92120,92090,92090,92090,92090,92210,92210,92210,92210,92225.19531,92225.5957,92225.5957
Surface area (sq. km),Puerto Rico,PRI,North America,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870
Surface area (sq. km),Qatar,QAT,Asia,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610
Surface area (sq. km),Romania,ROU,Europe,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238400,238400,238400
Surface area (sq. km),Russian Federation,RUS,Europe,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098250,17098250,17098250,17098250,17098250,17098250
Surface area (sq. km),Rwanda,RWA,Africa,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340
Surface area (sq. km),Samoa,WSM,Oceania,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840
Surface area (sq. km),San Marino,SMR,Europe,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Surface area (sq. km),Sao Tome and Principe,STP,Africa,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Surface area (sq. km),Saudi Arabia,SAU,Asia,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690
Surface area (sq. km),Senegal,SEN,Africa,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710
Surface area (sq. km),Serbia,SRB,Europe,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360
Surface area (sq. km),Seychelles,SYC,Africa,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Surface area (sq. km),Sierra Leone,SLE,Africa,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300
Surface area (sq. km),Singapore,SGP,Asia,680,680,685,696.9999695,699.0000153,699.0000153,704.0000153,705,710,710,711.9999695,714.0000153,715.9999847,716.9999695,719.0000153,719.0000153
Surface area (sq. km),Sint Maarten (Dutch part),SXM,North America,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Surface area (sq. km),Slovak Republic,SVK,Europe,49030,49030,49030,49030,49030,49030,49030,49030,49035,49040,49037.00195,49036.00098,49036.00098,49036.00098,49030,49030
Surface area (sq. km),Slovenia,SVN,Europe,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20675,20675,20675
Surface area (sq. km),Solomon Islands,SLB,Oceania,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900
Surface area (sq. km),Somalia,SOM,Africa,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660
Surface area (sq. km),South Africa,ZAF,Africa,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090
Surface area (sq. km),South Sudan,SSD,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Surface area (sq. km),Spain,ESP,Europe,505000,505020,505320,505370,505370,505370,505370,505370,505370,505370,505600,505600,505940,505940,505940,505923.9844
Surface area (sq. km),Sri Lanka,LKA,Asia,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610
Surface area (sq. km),St. Kitts and Nevis,KNA,North America,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
Surface area (sq. km),St. Lucia,LCA,North America,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620
Surface area (sq. km),St. Martin (French part),MAF,North America,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4
Surface area (sq. km),St. Vincent and the Grenadines,VCT,North America,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
Surface area (sq. km),Sudan,SDN,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Surface area (sq. km),Suriname,SUR,South America,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820
Surface area (sq. km),Eswatini,SWZ,Africa,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360
Surface area (sq. km),Sweden,SWE,Europe,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,447420,447420,447420,447430
Surface area (sq. km),Switzerland,CHE,Europe,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290.40039
Surface area (sq. km),Syrian Arab Republic,SYR,Asia,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180
Surface area (sq. km),Tajikistan,TJK,Asia,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,141375.9961,141380
Surface area (sq. km),Tanzania,TZA,Africa,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300
Surface area (sq. km),Thailand,THA,Asia,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120
Surface area (sq. km),Timor-Leste,TLS,Asia,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870
Surface area (sq. km),Togo,TGO,Africa,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790
Surface area (sq. km),Tonga,TON,Oceania,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Surface area (sq. km),Trinidad and Tobago,TTO,North America,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130
Surface area (sq. km),Tunisia,TUN,Africa,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610
Surface area (sq. km),Turkey,TUR,Asia,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350
Surface area (sq. km),Turkmenistan,TKM,Asia,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100
Surface area (sq. km),Turks and Caicos Islands,TCA,North America,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
Surface area (sq. km),Tuvalu,TUV,Oceania,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Surface area (sq. km),Uganda,UGA,Africa,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550
Surface area (sq. km),Ukraine,UKR,Europe,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550
Surface area (sq. km),United Arab Emirates,ARE,Asia,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600
Surface area (sq. km),United Kingdom,GBR,Europe,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610
Surface area (sq. km),United States,USA,North America,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510
Surface area (sq. km),Uruguay,URY,South America,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220
Surface area (sq. km),Uzbekistan,UZB,Asia,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400
Surface area (sq. km),Vanuatu,VUT,Oceania,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190
Surface area (sq. km),"Venezuela, RB",VEN,South America,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050
Surface area (sq. km),Vietnam,VNM,Asia,329240,329250,329300,329310,329313.9844,331211.9922,331211.9922,331211.9922,331051.0156,331051.0156,330953.9844,330956.9922,330971.0156,330971.9922,331230,331230
Surface area (sq. km),Virgin Islands (U.S.),VIR,North America,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Surface area (sq. km),West Bank and Gaza,PSE,Asia,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020
Surface area (sq. km),"Yemen, Rep.",YEM,Asia,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970
Surface area (sq. km),Zambia,ZMB,Africa,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610
Surface area (sq. km),Zimbabwe,ZWE,Africa,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760
Poverty headcount ratio at national poverty lines (% of population),Afghanistan,AFG,Asia,..,..,..,..,..,..,..,33.7,..,..,..,38.3,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Albania,ALB,Europe,..,..,25.4,..,..,18.5,..,..,12.4,..,..,..,14.3,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Algeria,DZA,Africa,..,..,..,..,..,..,..,..,..,..,..,5.5,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),American Samoa,ASM,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Andorra,AND,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Angola,AGO,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Antigua and Barbuda,ATG,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Argentina,ARG,South America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Armenia,ARM,Asia,..,..,..,..,53.5,40.1,30.2,26.4,27.6,34.1,35.8,35,32.4,32,30,29.8
Poverty headcount ratio at national poverty lines (% of population),Aruba,ABW,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Australia,AUS,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Austria,AUT,Europe,..,..,..,13,12.6,12.6,12,15.2,14.5,14.7,14.5,14.4,14.4,14.1,13.9,14.1
Poverty headcount ratio at national poverty lines (% of population),Azerbaijan,AZE,Asia,..,49.6,..,..,..,..,..,15.8,13.2,10.9,9.1,7.6,6,..,..,..
Poverty headcount ratio at national poverty lines (% of population),"Bahamas, The",BHS,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Bahrain,BHR,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,Asia,48.9,..,..,..,..,40,..,..,..,..,31.5,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Barbados,BRB,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Belarus,BLR,Europe,41.9,28.9,30.5,27.1,17.8,12.7,11.1,7.7,6.1,5.4,5.2,7.3,6.3,5.5,4.8,5.1
Poverty headcount ratio at national poverty lines (% of population),Belgium,BEL,Europe,..,..,..,14.3,14.8,14.7,15.2,14.7,14.6,14.6,15.3,15.3,15.1,15.5,14.9,15.5
Poverty headcount ratio at national poverty lines (% of population),Belize,BLZ,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Benin,BEN,Africa,..,..,..,..,..,..,37.5,33,..,..,35.2,36.2,..,..,..,40.1
Poverty headcount ratio at national poverty lines (% of population),Bermuda,BMU,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,Asia,..,..,..,..,..,..,..,23.2,..,..,..,..,12,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Bolivia,BOL,South America,66.4,63.1,63.3,..,63.1,59.6,59.9,60.1,57.3,51.3,..,45.1,43.3,38.9,39.1,38.6
Poverty headcount ratio at national poverty lines (% of population),Bosnia and Herzegovina,BIH,Europe,..,..,..,..,..,..,..,18.2,..,..,..,17.9,..,..,..,16.9
Poverty headcount ratio at national poverty lines (% of population),Botswana,BWA,Africa,..,..,30.6,..,..,..,..,..,..,19.3,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Brazil,BRA,South America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),British Virgin Islands,VGB,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Bulgaria,BGR,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.9
Poverty headcount ratio at national poverty lines (% of population),Burkina Faso,BFA,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Burundi,BDI,Africa,..,..,..,..,..,..,67.1,..,..,..,..,..,..,64.9,..,..
Poverty headcount ratio at national poverty lines (% of population),Cabo Verde,CPV,Africa,..,58,..,..,..,..,..,46,..,..,..,..,..,..,..,35
Poverty headcount ratio at national poverty lines (% of population),Cambodia,KHM,Asia,..,..,..,50.2,..,..,45,..,34,23.9,22.1,20.5,17.7,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Cameroon,CMR,Africa,..,40.2,..,..,..,..,..,39.9,..,..,..,..,..,..,37.5,..
Poverty headcount ratio at national poverty lines (% of population),Canada,CAN,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Cayman Islands,CYM,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Central African Republic,CAF,Africa,..,..,..,..,..,..,..,..,62,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Chad,TCD,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Channel Islands,CHI,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Chile,CHL,South America,36,..,..,35.4,..,..,29.1,..,..,25.3,..,22.2,..,14.4,..,11.7
Poverty headcount ratio at national poverty lines (% of population),China,CHN,Asia,49.8,..,..,..,..,30.2,..,..,..,..,17.2,12.7,10.2,8.5,7.2,5.7
Poverty headcount ratio at national poverty lines (% of population),Colombia,COL,South America,..,..,49.7,48,47.4,45,..,..,42,40.3,37.2,34.1,32.7,30.6,28.5,27.8
Poverty headcount ratio at national poverty lines (% of population),Comoros,COM,Africa,..,..,..,..,44.8,..,..,..,..,..,..,..,..,42.4,..,..
Poverty headcount ratio at national poverty lines (% of population),"Congo, Dem. Rep.",COD,Africa,..,..,..,..,69.3,..,..,..,..,..,..,..,63.9,..,..,..
Poverty headcount ratio at national poverty lines (% of population),"Congo, Rep.",COG,Africa,..,..,..,..,..,50.7,..,..,..,..,..,40.9,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Costa Rica,CRI,North America,..,..,..,..,..,..,..,..,..,..,..,21.7,20.6,20.7,22.4,21.7
Poverty headcount ratio at national poverty lines (% of population),Cote d'Ivoire,CIV,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.4
Poverty headcount ratio at national poverty lines (% of population),Croatia,HRV,Europe,..,..,..,..,..,..,..,..,..,20.6,20.9,20.4,19.5,19.4,20,19.5
Poverty headcount ratio at national poverty lines (% of population),Cuba,CUB,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Curacao,CUW,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Cyprus,CYP,Asia,..,..,..,..,16.1,15.6,15.5,15.9,15.8,15.6,14.8,14.7,15.3,14.4,16.2,16.1
Poverty headcount ratio at national poverty lines (% of population),Czech Republic,CZE,Europe,..,..,..,..,10.4,9.8,9.6,9,8.6,9,9.8,9.6,8.6,9.7,9.7,9.7
Poverty headcount ratio at national poverty lines (% of population),Denmark,DNK,Europe,..,..,..,10.9,11.8,11.7,11.7,11.8,13.1,13.3,12.1,12,11.9,12.1,12.2,11.9
Poverty headcount ratio at national poverty lines (% of population),Djibouti,DJI,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Dominica,DMA,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Dominican Republic,DOM,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Ecuador,ECU,South America,..,..,..,..,..,..,..,36.7,35.1,36,32.8,28.6,27.3,25.6,22.5,23.3
Poverty headcount ratio at national poverty lines (% of population),"Egypt, Arab Rep.",EGY,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.8
Poverty headcount ratio at national poverty lines (% of population),El Salvador,SLV,North America,..,..,..,..,..,..,..,..,40,37.8,36.5,40.6,34.5,29.6,31.8,34.9
Poverty headcount ratio at national poverty lines (% of population),Equatorial Guinea,GNQ,Africa,..,..,..,..,..,..,76.8,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Eritrea,ERI,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Estonia,EST,Europe,..,..,..,..,18.3,18.3,19.4,19.5,19.7,15.8,17.5,17.5,18.6,21.8,21.6,21.7
Poverty headcount ratio at national poverty lines (% of population),Ethiopia,ETH,Africa,..,..,..,..,38.7,..,..,..,..,..,29.6,..,..,..,..,23.5
Poverty headcount ratio at national poverty lines (% of population),Faroe Islands,FRO,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Fiji,FJI,Oceania,..,..,39.8,..,..,..,..,..,35.2,..,..,..,..,34,..,..
Poverty headcount ratio at national poverty lines (% of population),Finland,FIN,Europe,..,..,..,..,11.7,12.6,13,13.6,13.8,13.1,13.7,13.2,11.8,12.8,12.4,11.6
Poverty headcount ratio at national poverty lines (% of population),France,FRA,Europe,..,..,..,..,13,13.2,13.1,12.5,12.9,13.3,14,14.1,13.7,13.3,13.6,13.6
Poverty headcount ratio at national poverty lines (% of population),French Polynesia,PYF,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Gabon,GAB,Africa,..,..,..,..,..,32.7,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),"Gambia, The",GMB,Africa,..,..,..,..,..,..,..,..,..,..,48.1,..,..,..,..,48.6
Poverty headcount ratio at national poverty lines (% of population),Georgia,GEO,Asia,..,..,..,..,34.3,35.4,36.9,38.8,34.9,34.9,37.3,34.1,30,26.2,23.5,21.6
Poverty headcount ratio at national poverty lines (% of population),Germany,DEU,Europe,..,..,..,..,..,12.5,15.2,15.2,15.5,15.6,15.8,16.1,16.1,16.7,16.7,16.5
Poverty headcount ratio at national poverty lines (% of population),Ghana,GHA,Africa,..,..,..,..,..,31.9,..,..,..,..,..,..,24.2,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Gibraltar,GIB,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Greece,GRC,Europe,..,..,..,19.9,19.6,20.5,20.3,20.1,19.7,20.1,21.4,23.1,23.1,22.1,21.4,21.2
Poverty headcount ratio at national poverty lines (% of population),Greenland,GRL,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Grenada,GRD,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Guam,GUM,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
